Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateDataboard,Chrome 68.0.3440.106,,2018-08-14 10:24:51,2018-08-14 10:25:40,"49,102s",FAILED
,,,,,,
Test Cases/LoginAccountCompany,Chrome 68.0.3440.106,,2018-08-14 10:24:51,2018-08-14 10:24:59,"8,017s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 10:24:52,2018-08-14 10:24:56,"4,043s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 10:24:56,2018-08-14 10:24:58,"2,259s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 10:24:58,2018-08-14 10:24:59,"0,508s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 10:24:59,2018-08-14 10:24:59,"0,564s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 10:24:59,2018-08-14 10:24:59,"0,230s",PASSED
,,,,,,
Test Cases/CreateDataboard,Chrome 68.0.3440.106,,2018-08-14 10:24:59,2018-08-14 10:25:39,"39,679s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 10:25:00,2018-08-14 10:25:06,"6,322s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 10:25:06,2018-08-14 10:25:39,"33,128s",FAILED
