Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateUser_DeleteUser,Chrome 68.0.3440.106,,2018-08-14 14:10:58,2018-08-14 14:11:36,"37,172s",FAILED
,,,,,,
Test Cases/LoginAccountCompany,Chrome 68.0.3440.106,,2018-08-14 14:10:59,2018-08-14 14:11:08,"8,821s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 14:11:00,2018-08-14 14:11:04,"4,275s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 14:11:04,2018-08-14 14:11:06,"2,354s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 14:11:06,2018-08-14 14:11:07,"0,656s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 14:11:07,2018-08-14 14:11:08,"0,734s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:11:08,2018-08-14 14:11:08,"0,238s",PASSED
,,,,,,
Test Cases/CreateUser,Chrome 68.0.3440.106,,2018-08-14 14:11:08,2018-08-14 14:11:24,"16,057s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:11:08,2018-08-14 14:11:15,"7,281s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:11:15,2018-08-14 14:11:16,"0,692s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:11:16,2018-08-14 14:11:16,"0,372s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 14:11:16,2018-08-14 14:11:18,"1,067s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 14:11:18,2018-08-14 14:11:18,"0,920s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:11:18,2018-08-14 14:11:19,"0,182s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 14:11:19,2018-08-14 14:11:20,"1,811s",PASSED
delay,Chrome 68.0.3440.106,,2018-08-14 14:11:20,2018-08-14 14:11:23,"3,036s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:11:23,2018-08-14 14:11:24,"0,321s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 14:11:24,2018-08-14 14:11:24,"0,041s",PASSED
,,,,,,
Test Cases/DeleteUser,Chrome 68.0.3440.106,,2018-08-14 14:11:24,2018-08-14 14:11:36,"11,784s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 14:11:24,2018-08-14 14:11:24,"0,152s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:11:24,2018-08-14 14:11:25,"0,357s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:11:25,2018-08-14 14:11:36,"11,047s",FAILED
