Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create_Delete_Account,Chrome 68.0.3440.106,,2018-08-13 11:25:34,2018-08-13 11:26:02,"28,281s",ERROR
,,,,,,
Test Cases/CreateAccountCompany,Chrome 68.0.3440.106,,2018-08-13 11:25:34,2018-08-13 11:26:00,"25,077s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-13 11:25:35,2018-08-13 11:25:39,"4,222s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-13 11:25:39,2018-08-13 11:25:42,"2,268s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:25:42,2018-08-13 11:25:45,"3,896s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:25:45,2018-08-13 11:25:47,"1,621s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:25:47,2018-08-13 11:25:47,"0,407s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-13 11:25:47,2018-08-13 11:25:48,"0,759s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:25:48,2018-08-13 11:25:49,"0,764s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:25:49,2018-08-13 11:25:49,"0,417s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:25:49,2018-08-13 11:25:51,"1,192s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:25:51,2018-08-13 11:25:54,"3,698s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:25:54,2018-08-13 11:26:00,"5,264s",PASSED
,,,,,,
Test Cases/DeleteAccountCompany,Chrome 68.0.3440.106,,2018-08-13 11:26:00,2018-08-13 11:26:02,"1,963s",ERROR
click,Chrome 68.0.3440.106,,2018-08-13 11:26:00,2018-08-13 11:26:00,"0,216s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:26:00,2018-08-13 11:26:01,"0,783s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:26:01,2018-08-13 11:26:01,"0,336s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:26:01,2018-08-13 11:26:01,"0,153s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-13 11:26:01,2018-08-13 11:26:01,"0,009s",PASSED
